09:43:50.190 logback-mybatis [http-nio-9090-exec-3] INFO  c.d.b.interceptor.LoginInterceptor - username: null
09:43:50.190 logback-mybatis [http-nio-9090-exec-3] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/Home
09:43:54.387 logback-mybatis [http-nio-9090-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
09:43:54.769 logback-mybatis [http-nio-9090-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
09:43:55.377 logback-mybatis [http-nio-9090-exec-6] INFO  c.d.b.interceptor.LoginInterceptor - username: admin
09:43:55.377 logback-mybatis [http-nio-9090-exec-6] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/Home
09:51:55.010 logback-mybatis [http-nio-9090-exec-9] INFO  c.d.b.interceptor.LoginInterceptor - username: admin
09:51:55.011 logback-mybatis [http-nio-9090-exec-9] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/logout
09:52:02.912 logback-mybatis [http-nio-9090-exec-2] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:02.916 logback-mybatis [http-nio-9090-exec-2] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/Home
09:52:04.769 logback-mybatis [http-nio-9090-exec-3] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:04.769 logback-mybatis [http-nio-9090-exec-3] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/search
09:52:04.776 logback-mybatis [http-nio-9090-exec-3] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'dim' is not present]
09:52:06.688 logback-mybatis [http-nio-9090-exec-4] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:06.688 logback-mybatis [http-nio-9090-exec-4] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/search
09:52:06.688 logback-mybatis [http-nio-9090-exec-4] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'dim' is not present]
09:52:43.261 logback-mybatis [http-nio-9090-exec-7] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:43.261 logback-mybatis [http-nio-9090-exec-7] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/Home
09:52:45.123 logback-mybatis [http-nio-9090-exec-8] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:45.123 logback-mybatis [http-nio-9090-exec-8] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/sea
09:52:45.847 logback-mybatis [http-nio-9090-exec-9] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:45.848 logback-mybatis [http-nio-9090-exec-9] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/search
09:52:50.737 logback-mybatis [http-nio-9090-exec-10] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:50.737 logback-mybatis [http-nio-9090-exec-10] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/borrow
09:52:58.353 logback-mybatis [http-nio-9090-exec-2] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:58.353 logback-mybatis [http-nio-9090-exec-2] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/doBorrow
09:52:58.392 logback-mybatis [http-nio-9090-exec-3] INFO  c.d.b.interceptor.LoginInterceptor - username: admin12
09:52:58.392 logback-mybatis [http-nio-9090-exec-3] INFO  c.d.b.interceptor.LoginInterceptor - >>>: http://localhost:9090/sea
10:10:26.973 logback-mybatis [restartedMain] INFO  com.dragon.book.BookApplication - Starting BookApplication on AGOE2345-231742 with PID 1940 (E:\IdeaProjects\books\BOOK\target\classes started by Administrator in E:\IdeaProjects\books\BOOK)
10:10:26.979 logback-mybatis [restartedMain] INFO  com.dragon.book.BookApplication - No active profile set, falling back to default profiles: default
10:10:27.355 logback-mybatis [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:10:27.356 logback-mybatis [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:10:31.830 logback-mybatis [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:10:31.835 logback-mybatis [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
10:10:31.984 logback-mybatis [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 117ms. Found 0 repository interfaces.
10:10:32.785 logback-mybatis [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$eea3badd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:10:32.851 logback-mybatis [restartedMain] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
10:10:32.891 logback-mybatis [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$4a0bf5de] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:10:34.771 logback-mybatis [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
10:10:34.797 logback-mybatis [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
10:10:34.815 logback-mybatis [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:10:34.816 logback-mybatis [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.14]
10:10:34.843 logback-mybatis [restartedMain] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_40\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;E:\oracle\product\10.2.0\db_1\bin;C:\Program Files\Java\jdk1.8.0_40\bin;C:\Program Files\Java\jdk1.8.0_40\jre\bin;C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\MySQL\MySQL Server 5.5\bin;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\TortoiseSVN\bin;D:\jarpackage\maven\apache-maven-3.0.5\bin;D:\Program Files\Git\cmd;C:\Users\Administrator\AppData\Local\Microsoft\WindowsApps;;D:\Program Files\JetBrains\IntelliJ IDEA 2018.3.2\bin;;.]
10:10:35.738 logback-mybatis [restartedMain] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
10:10:35.748 logback-mybatis [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:10:35.749 logback-mybatis [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 8393 ms
10:10:39.593 logback-mybatis [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
